Date,Volume_t-3,Volume_t-2,Volume_t-1,Open_t-3,Open_t-2,Open_t-1,High_t-3,High_t-2,High_t-1,Low_t-3,Low_t-2,Low_t-1,target
2018-04-09,34581850.0,26750260.0,34949690.0,164.88,172.58,170.97,172.01,174.23,172.48,164.77,172.08,168.2,169.88
2020-01-14,42621540.0,35217270.0,30521720.0,307.24,310.6,311.64,310.43,312.67,317.07,306.2,308.25,311.15,316.7
2019-02-11,28204640.0,31644240.0,23793830.0,174.65,172.4,168.99,175.57,173.94,170.66,172.85,170.34,168.42,171.05
2017-10-27,17633730.0,21175670.0,16916650.0,156.29,156.91,157.23,157.42,157.55,157.83,156.2,155.27,156.78,159.29
2016-12-23,21337310.0,23724430.0,26043820.0,116.74,116.8,116.35,117.5,117.4,116.51,116.68,116.78,115.64,115.59
2017-12-19,20442740.0,40122100.0,29385650.0,172.4,173.63,174.88,173.13,174.17,177.2,171.65,172.46,174.86,175.03
2019-06-05,27043580.0,40396070.0,30967960.0,176.23,175.6,175.44,177.99,177.92,179.83,174.99,170.27,174.52,184.28
2017-01-20,34412090.0,23687350.0,25554290.0,118.34,120.0,119.4,120.24,120.5,120.09,118.22,119.71,119.37,120.45
2016-04-28,27997990.0,52979780.0,114436300.0,105.0,103.91,96.0,105.65,105.3,98.71,104.51,103.91,95.68,97.61
2017-07-12,18527000.0,21080580.0,18647220.0,142.9,144.11,144.73,144.75,145.95,145.85,142.9,143.37,144.38,145.87
2015-10-14,52720620.0,30386830.0,32970790.0,110.0,112.73,110.82,112.28,112.75,112.45,109.49,111.44,110.68,111.29
2017-03-16,17048800.0,15281850.0,25676720.0,138.85,139.3,139.41,139.43,139.65,140.75,138.82,138.84,139.03,140.72
2017-11-02,44651420.0,35779520.0,33482970.0,163.89,167.9,169.87,168.07,169.65,169.94,163.72,166.94,165.61,167.64
2018-10-18,30280450.0,28802550.0,22692880.0,221.16,218.93,222.3,221.83,222.99,222.64,217.27,216.76,219.34,217.86
2016-08-10,39546610.0,28010430.0,26296260.0,106.27,107.52,108.23,107.65,108.37,108.94,106.18,107.16,108.01,108.71
2019-11-07,25817950.0,19974430.0,18966120.0,257.33,257.05,256.77,257.85,258.19,257.49,255.38,256.32,255.37,258.74
2017-09-12,21905160.0,28411740.0,31506890.0,162.09,160.86,160.5,162.24,161.15,162.05,160.36,158.53,159.89,162.61
2016-03-09,46026600.0,35890740.0,31538710.0,102.37,102.39,100.78,103.75,102.83,101.76,101.37,100.96,100.4,101.31
2019-09-18,39763300.0,21158140.0,18386470.0,220.0,217.73,219.96,220.79,220.13,220.82,217.02,217.56,219.12,221.06
2020-01-30,40485010.0,40558490.0,54149930.0,310.06,312.6,324.45,311.77,318.4,327.85,304.88,312.19,321.38,320.54
2017-09-27,46575410.0,44366140.0,35907770.0,152.02,149.99,151.78,152.27,151.83,153.92,150.56,149.16,151.69,153.8
2018-12-27,95497900.0,37169230.0,58133850.0,156.86,148.15,148.3,158.16,151.55,157.23,149.63,146.59,146.72,155.84
2019-03-07,27413060.0,19238480.0,20755140.0,175.69,175.94,174.67,177.75,176.0,175.49,173.97,174.54,173.94,173.87
2019-12-30,12119710.0,23334000.0,36592940.0,284.69,284.82,291.12,284.89,289.98,293.97,282.92,284.7,288.12,289.46
2017-12-12,25656110.0,23285760.0,34260890.0,169.03,170.49,169.2,170.44,171.0,172.89,168.91,168.82,168.79,172.15
2018-07-31,19005150.0,23975350.0,20912890.0,194.61,194.99,191.9,195.96,195.19,192.2,193.61,190.1,189.07,190.3
2016-04-12,31735810.0,23553790.0,29357940.0,109.95,108.91,108.97,110.42,109.77,110.61,108.12,108.17,108.83,109.34
2015-09-09,53142590.0,49904460.0,54507300.0,112.49,108.97,111.65,112.78,110.45,112.56,110.04,108.51,110.32,113.76
2019-06-18,21674630.0,18761470.0,14669140.0,194.7,191.55,192.9,196.79,193.59,194.96,193.6,190.3,192.17,196.05
2018-07-23,16365720.0,20182050.0,20670830.0,191.78,189.69,191.78,191.8,192.55,192.43,189.93,189.69,190.17,190.68
2018-03-14,32130360.0,32191070.0,31464170.0,177.96,180.29,182.59,180.0,182.39,183.5,177.39,180.21,179.24,180.32
2019-07-19,16866820.0,14107450.0,18582160.0,204.59,204.05,204.0,206.11,205.09,205.88,203.5,203.27,203.7,205.79
2016-10-12,24336440.0,36087910.0,63963010.0,114.31,115.02,117.7,114.56,116.75,118.69,113.51,114.72,116.2,117.35
2016-05-18,44223040.0,61192340.0,46858910.0,90.0,92.39,94.55,91.67,94.39,94.7,90.0,91.65,93.01,94.16
2020-02-07,34154130.0,29706720.0,26356390.0,315.31,323.52,322.57,319.64,324.76,325.22,313.63,318.95,320.26,322.37
2020-07-08,28510370.0,29663910.0,28106110.0,367.85,370.0,375.41,370.47,375.78,378.62,363.64,369.87,372.23,376.72
2016-12-16,43293350.0,33962370.0,46286150.0,113.84,115.04,115.38,115.92,116.2,116.73,113.75,114.98,115.23,116.47
2018-12-07,40537700.0,41141250.0,42704910.0,184.46,180.95,171.76,184.94,182.39,174.78,181.21,176.27,170.42,173.49
2016-07-25,26219110.0,32690080.0,28218240.0,100.0,99.83,99.26,100.46,101.0,99.3,99.74,99.13,98.31,98.25
2015-08-10,99202400.0,52828890.0,38610120.0,112.95,115.97,114.58,117.44,116.5,116.25,112.1,114.12,114.5,116.53
2017-06-07,27715140.0,25277680.0,26591850.0,153.58,154.34,153.9,155.45,154.45,155.81,152.89,153.46,153.78,155.02
2015-08-25,68176940.0,127246600.0,161882500.0,114.08,110.43,94.87,114.35,111.9,108.8,111.63,105.65,92.0,111.11
2017-07-25,17170490.0,25111310.0,21466370.0,151.5,149.99,150.58,151.74,150.44,152.44,150.19,148.88,149.9,151.8
2019-01-30,33508960.0,26147280.0,39914850.0,155.48,155.79,156.25,158.13,156.33,158.13,154.32,153.66,154.11,163.25
2020-05-08,36937800.0,35583440.0,28803760.0,295.06,300.46,303.22,301.0,303.24,305.17,294.46,298.87,301.97,305.64
2018-01-11,20523870.0,21532200.0,23751690.0,174.35,174.55,173.16,175.61,175.06,174.3,173.93,173.41,173.0,174.59
2016-07-14,23317990.0,24129530.0,25879680.0,96.75,97.17,97.41,97.65,97.7,97.67,96.73,97.12,96.84,97.39
2020-04-08,32470020.0,50455070.0,50721830.0,242.8,250.9,270.8,245.7,263.11,271.7,238.97,249.38,259.0,262.74
2019-02-15,22224400.0,22389660.0,21785180.0,170.1,171.39,169.71,171.0,172.48,171.26,169.7,169.92,169.38,171.25
2017-11-13,24358920.0,29422610.0,25129510.0,174.66,175.11,175.11,176.24,176.1,175.38,174.33,173.14,174.27,173.5
2018-09-05,48696960.0,43177540.0,27363960.0,223.25,226.51,228.41,228.26,228.87,229.18,222.4,226.0,226.63,228.99
2019-02-01,39914850.0,60800480.0,40613260.0,156.25,163.25,166.11,158.13,166.15,169.0,154.11,160.23,164.56,166.96
2019-01-10,54571440.0,40622910.0,45034370.0,148.7,149.56,151.29,148.83,151.82,154.53,145.9,148.52,149.63,152.5
2016-07-29,53454620.0,92143920.0,38771840.0,96.82,104.27,102.83,97.97,104.35,104.45,96.42,102.75,102.82,104.19
2016-12-19,33962370.0,46286150.0,44284660.0,115.04,115.38,116.47,116.2,116.73,116.5,114.98,115.23,115.65,115.8
2020-01-09,29644640.0,27877660.0,33090950.0,293.79,299.84,297.16,299.96,300.9,304.44,292.75,297.48,297.16,307.24
2015-12-04,34806250.0,33316990.0,41511380.0,118.75,117.05,116.55,118.81,118.11,116.79,116.86,116.08,114.22,115.29
2019-02-13,23793830.0,20940020.0,22224400.0,168.99,171.05,170.1,170.66,171.21,171.0,168.42,169.25,169.7,171.39
2017-11-09,34770480.0,24332120.0,24358920.0,172.37,173.91,174.66,174.99,175.25,176.24,171.72,173.6,174.33,175.11
2018-02-21,50908540.0,40113790.0,33690660.0,169.79,172.36,172.05,173.09,174.82,174.26,169.0,171.77,171.42,172.83
2020-06-03,38399530.0,20254650.0,21910700.0,319.25,317.75,320.75,321.15,322.35,323.44,316.47,317.21,318.93,324.66
2016-10-11,28508710.0,24336440.0,36087910.0,113.7,114.31,115.02,114.34,114.56,116.75,113.13,113.51,114.72,117.7
2018-02-15,60774900.0,32483310.0,40382890.0,158.5,161.95,163.05,163.89,164.75,167.54,157.51,161.65,162.88,169.79
2017-12-08,27315530.0,28397810.0,25656110.0,169.06,167.5,169.03,171.52,170.2,170.44,168.4,166.46,168.91,170.49
2019-03-01,16991610.0,27817640.0,27953810.0,173.71,173.21,174.32,175.3,175.0,174.91,173.17,172.73,172.92,174.28
2020-03-18,92683030.0,80605870.0,81013970.0,264.89,241.95,247.51,279.92,259.08,257.61,252.95,240.0,238.4,239.77
2015-09-29,50061580.0,56005550.0,51861990.0,113.25,116.44,113.85,115.5,116.69,114.57,112.37,114.02,112.44,112.83
2018-04-12,28976200.0,28567110.0,22401040.0,169.88,173.0,172.23,173.09,174.0,173.92,169.85,171.53,171.7,173.41
2017-11-10,24332120.0,24358920.0,29422610.0,173.91,174.66,175.11,175.25,176.24,176.1,173.6,174.33,173.14,175.11
2020-01-06,25247630.0,33911860.0,36633880.0,289.93,296.24,297.15,293.68,300.6,300.58,289.52,295.19,296.5,293.79
2018-05-11,28053230.0,23141260.0,27942430.0,184.99,186.55,187.74,186.22,187.4,190.37,183.67,185.22,187.65,189.49
2020-01-17,40653460.0,30480880.0,27207250.0,316.7,311.85,313.59,317.57,315.5,315.7,312.17,309.55,312.09,316.27
2020-05-14,36486560.0,40575260.0,50155640.0,308.1,317.83,312.15,317.05,319.69,315.95,307.24,310.91,303.21,304.51
2015-09-18,43218350.0,37080720.0,63712340.0,115.93,116.25,115.66,116.53,116.54,116.49,114.42,115.44,113.72,112.21
2019-12-10,18661340.0,26547490.0,32182650.0,263.79,267.48,270.0,265.89,271.0,270.8,262.73,267.3,264.91,268.6
2017-06-29,25674500.0,24725210.0,22052920.0,147.17,145.01,144.49,148.28,146.16,146.11,145.38,143.62,143.16,144.71
2018-05-09,56137230.0,42557530.0,28053230.0,178.25,185.18,184.99,184.25,187.67,186.22,178.17,184.75,183.67,186.55
2018-05-24,18383080.0,15228270.0,19966590.0,188.0,188.38,186.35,189.27,188.88,188.5,186.91,186.78,185.76,188.77
2018-06-15,16859020.0,21480120.0,21584720.0,191.39,192.42,191.55,192.61,192.88,191.57,191.15,190.44,190.22,190.03
2016-08-18,25704330.0,33754680.0,25328680.0,108.14,109.63,109.1,109.54,110.23,109.37,108.08,109.21,108.34,109.23
2019-09-25,57977090.0,19419650.0,31434370.0,221.38,218.95,221.03,222.56,219.84,222.49,217.47,217.65,217.19,218.55
2016-12-22,27756760.0,21337310.0,23724430.0,115.8,116.74,116.8,117.38,117.5,117.4,115.75,116.68,116.78,116.35
2018-07-20,15515000.0,16365720.0,20182050.0,189.75,191.78,189.69,191.87,191.8,192.55,189.2,189.93,189.69,191.78
2016-08-19,33754680.0,25328680.0,21918340.0,109.63,109.1,109.23,110.23,109.37,109.6,109.21,108.34,109.02,108.77
2017-06-05,24452750.0,16383610.0,27715140.0,153.97,153.17,153.58,154.17,153.33,155.45,152.38,152.22,152.89,154.34
